region_code,country,source_year,package_version,cbo_pct,mp_population_16_74,mp_online_shopping_pct,mp_estimated_eshoppers_16_74,mp_population_total,mp_estimated_eshoppers_total_optional,mp_rank_16_74,mp_rank_total_optional,mp_rank_shift_16_74_vs_total_optional,mp_formula_label,mp_population_age_used
AT,Austria,2023,revised_candidate_2023_mp16_74,69.21,6836408.0,72.17,4933835.6536,9104772.0,6570913.9524,12,12,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
BE,Belgium,2023,revised_candidate_2023_mp16_74,62.41,8576459.0,75.26,6454643.043400001,11742796.0,8837628.2696,9,9,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
BG,Bulgaria,2023,revised_candidate_2023_mp16_74,27.4,4831907.0,45.19,2183538.7733,6447710.0,2913720.1489999997,19,19,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
CY,Cyprus,2023,revised_candidate_2023_mp16_74,80.75,720656.0,56.83,409548.8048,949084.0,539364.4372,25,25,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
CZ,Czechia,2023,revised_candidate_2023_mp16_74,35.63,8013794.0,77.68,6225115.179200001,10827529.0,8410824.5272,10,10,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
DE,Germany,2023,revised_candidate_2023_mp16_74,20.25,61606569.0,77.48,47732769.6612,83118501.0,64400214.57480001,1,1,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
DK,Denmark,2023,revised_candidate_2023_mp16_74,39.88,4326975.0,89.01,3851440.4475,5932654.0,5280655.3254,15,15,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
EE,Estonia,2023,revised_candidate_2023_mp16_74,42.98,999553.0,73.12,730873.1536,1365884.0,998734.3808000002,24,24,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
EL,Greece,2023,revised_candidate_2023_mp16_74,27.8,7693854.0,57.53,4426274.2062,10401868.0,5984194.6603999995,13,13,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
ES,Spain,2023,revised_candidate_2023_mp16_74,31.51,36245940.0,68.88,24966203.472,48085361.0,33121196.656799998,3,3,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
FI,Finland,2023,revised_candidate_2023_mp16_74,43.62,4060522.0,79.14,3213497.1108,5563970.0,4403325.858,17,17,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
FR,France,2023,revised_candidate_2023_mp16_74,38.66,48851592.0,76.93,37581529.725600004,68277210.0,52525657.653000005,2,2,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
HR,Croatia,2023,revised_candidate_2023_mp16_74,46.65,2900212.0,59.14,1715185.3768,3850894.0,2277418.7116,20,20,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
HU,Hungary,2023,revised_candidate_2023_mp16_74,42.38,7305386.0,69.67,5089662.4262,9599744.0,6688141.6448,11,11,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
IE,Ireland,2023,revised_candidate_2023_mp16_74,55.23,3830235.0,87.12,3336900.732,5271395.0,4592439.324,16,16,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
IT,Italy,2023,revised_candidate_2023_mp16_74,37.69,43808617.0,51.11,22390584.1487,58997201.0,30153469.4311,4,4,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
LT,Lithuania,2023,revised_candidate_2023_mp16_74,36.72,2140337.0,60.91,1303679.2666999998,2857279.0,1740368.6389,21,21,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
LU,Luxembourg,2023,revised_candidate_2023_mp16_74,69.5,505257.0,79.79,403144.5603,660809.0,527259.5011000001,26,26,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
LV,Latvia,2023,revised_candidate_2023_mp16_74,46.35,1393071.0,62.14,865654.3193999999,1895239.0,1177701.5146,23,23,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
MT,Malta,2023,revised_candidate_2023_mp16_74,63.44,424353.0,68.69,291488.0757,542051.0,372334.8319,27,27,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
NL,Netherlands,2023,revised_candidate_2023_mp16_74,34.4,13248495.0,92.41,12242934.229500001,17811291.0,16459414.0131,6,6,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
PL,Poland,2023,revised_candidate_2023_mp16_74,12.63,27928906.0,64.32,17963872.339199997,36753736.0,23640002.9952,5,5,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
PT,Portugal,2023,revised_candidate_2023_mp16_74,45.29,7831858.0,54.75,4287942.255,10516621.0,5757849.9975,14,14,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
RO,Romania,2023,revised_candidate_2023_mp16_74,18.73,14284842.0,50.3,7185275.525999999,19055228.0,9584779.684,7,7,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
SE,Sweden,2023,revised_candidate_2023_mp16_74,29.4,7488892.0,88.75,6646391.65,10521556.0,9337880.95,8,8,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
SI,Slovenia,2023,revised_candidate_2023_mp16_74,50.17,1579825.0,65.85,1040314.7624999998,2116972.0,1394026.062,22,22,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
SK,Slovakia,2023,revised_candidate_2023_mp16_74,39.02,4145074.0,76.82,3184245.8467999995,5428792.0,4170398.0143999993,18,18,0,population_Y16_Y74_SUM * online_shopping_incidence / 100,Y16_Y74_SUM
