region_code,country,source_year,package_version,cbo_pct,mp_population_base,mp_online_shopping_pct,mp_estimated_eshoppers,mp_formula_label,mp_population_age_used
AT,AT,2023,v47_final,69.21,9104772.0,72.17,6570913.9524,population_TOTAL * online_shopping_incidence / 100,TOTAL
BE,BE,2023,v47_final,62.41,11742796.0,75.26,8837628.2696,population_TOTAL * online_shopping_incidence / 100,TOTAL
BG,BG,2023,v47_final,27.4,6447710.0,45.19,2913720.1489999997,population_TOTAL * online_shopping_incidence / 100,TOTAL
CY,CY,2023,v47_final,80.75,949084.0,56.83,539364.4372,population_TOTAL * online_shopping_incidence / 100,TOTAL
CZ,CZ,2023,v47_final,35.63,10827529.0,77.68,8410824.5272,population_TOTAL * online_shopping_incidence / 100,TOTAL
DE,DE,2023,v47_final,20.25,83118501.0,77.48,64400214.57480001,population_TOTAL * online_shopping_incidence / 100,TOTAL
DK,DK,2023,v47_final,39.88,5932654.0,89.01,5280655.3254,population_TOTAL * online_shopping_incidence / 100,TOTAL
EE,EE,2023,v47_final,42.98,1365884.0,73.12,998734.3808000002,population_TOTAL * online_shopping_incidence / 100,TOTAL
EL,EL,2023,v47_final,27.8,10401868.0,57.53,5984194.6603999995,population_TOTAL * online_shopping_incidence / 100,TOTAL
ES,ES,2023,v47_final,31.51,48085361.0,68.88,33121196.656799998,population_TOTAL * online_shopping_incidence / 100,TOTAL
FI,FI,2023,v47_final,43.62,5563970.0,79.14,4403325.858,population_TOTAL * online_shopping_incidence / 100,TOTAL
FR,FR,2023,v47_final,38.66,68277210.0,76.93,52525657.653000005,population_TOTAL * online_shopping_incidence / 100,TOTAL
HR,HR,2023,v47_final,46.65,3850894.0,59.14,2277418.7116,population_TOTAL * online_shopping_incidence / 100,TOTAL
HU,HU,2023,v47_final,42.38,9599744.0,69.67,6688141.6448,population_TOTAL * online_shopping_incidence / 100,TOTAL
IE,IE,2023,v47_final,55.23,5271395.0,87.12,4592439.324,population_TOTAL * online_shopping_incidence / 100,TOTAL
IT,IT,2023,v47_final,37.69,58997201.0,51.11,30153469.4311,population_TOTAL * online_shopping_incidence / 100,TOTAL
LT,LT,2023,v47_final,36.72,2857279.0,60.91,1740368.6389,population_TOTAL * online_shopping_incidence / 100,TOTAL
LU,LU,2023,v47_final,69.5,660809.0,79.79,527259.5011000001,population_TOTAL * online_shopping_incidence / 100,TOTAL
LV,LV,2023,v47_final,46.35,1895239.0,62.14,1177701.5146,population_TOTAL * online_shopping_incidence / 100,TOTAL
MT,MT,2023,v47_final,64.25,542051.0,67.68,366860.1168000001,population_TOTAL * online_shopping_incidence / 100,TOTAL
NL,NL,2023,v47_final,34.4,17811291.0,92.41,16459414.0131,population_TOTAL * online_shopping_incidence / 100,TOTAL
PL,PL,2023,v47_final,12.63,36753736.0,64.32,23640002.9952,population_TOTAL * online_shopping_incidence / 100,TOTAL
PT,PT,2023,v47_final,45.29,10516621.0,54.75,5757849.9975,population_TOTAL * online_shopping_incidence / 100,TOTAL
RO,RO,2023,v47_final,18.73,19055228.0,50.3,9584779.684,population_TOTAL * online_shopping_incidence / 100,TOTAL
SE,SE,2023,v47_final,29.4,10521556.0,88.75,9337880.95,population_TOTAL * online_shopping_incidence / 100,TOTAL
SI,SI,2023,v47_final,50.17,2116972.0,65.85,1394026.062,population_TOTAL * online_shopping_incidence / 100,TOTAL
SK,SK,2023,v47_final,39.02,5428792.0,76.82,4170398.0143999993,population_TOTAL * online_shopping_incidence / 100,TOTAL
