region_code,country,source_year,package_version,esp_pct,dfp_pct,lpi_score,cbo_pct,mp_population_base,mp_online_shopping_pct,mp_estimated_eshoppers,mp_population_age_used,eti_pct,eti_dataset_code,gdp_pps_index,pc1_ef_score,tier_baseline_rankaware
AT,AT,2023,v47_final,25.97,77.17,4.0,69.21,9104772.0,72.17,6570913.9524,TOTAL,4.27,isoc_ec_evals (PC_TURN),121.0,1.065697075607437,Tier1_Priority
BE,BE,2023,v47_final,31.81,79.6,4.0,62.41,11742796.0,75.26,8837628.2696,TOTAL,9.48,isoc_ec_evals (PC_TURN),118.0,1.5989101046835361,Tier1_Priority
BG,BG,2023,v47_final,15.1,23.43,3.2,27.4,6447710.0,45.19,2913720.149,TOTAL,4.28,isoc_ec_evals (PC_TURN),63.0,-2.8747203139799686,Tier3_BarrierHeavy
CY,CY,2023,v47_final,23.5,70.86,3.2,80.75,949084.0,56.83,539364.4372,TOTAL,9.26,isoc_ec_evals (PC_TURN),97.0,-0.6104240834807187,Tier3_BarrierHeavy
CZ,CZ,2023,v47_final,24.67,79.84,3.3,35.63,10827529.0,77.68,8410824.5272,TOTAL,9.23,isoc_ec_evals (PC_TURN),91.0,-0.055320318464084424,Tier2_Selective
DE,DE,2023,v47_final,22.2,57.22,4.1,20.25,83118501.0,77.48,64400214.57480001,TOTAL,7.18,isoc_ec_evals (PC_TURN),118.0,0.2538490843103216,Tier2_Selective
DK,DK,2023,v47_final,36.67,96.22,4.1,39.88,5932654.0,89.01,5280655.3254,TOTAL,7.02,isoc_ec_evals (PC_TURN),126.0,2.6989758302792852,Tier1_Priority
EE,EE,2023,v47_final,22.33,84.89,3.4,42.98,1365884.0,73.12,998734.3808000002,TOTAL,7.54,isoc_ec_evals (PC_TURN),80.0,0.09514442233606829,Tier2_Selective
EL,EL,2023,v47_final,20.01,52.01,3.4,27.8,10401868.0,57.53,5984194.6604,TOTAL,5.05,isoc_ec_evals (PC_TURN),68.0,-1.2043664631764641,Tier2_Selective
ES,ES,2023,v47_final,33.62,71.45,3.9,31.51,48085361.0,68.88,33121196.6568,TOTAL,8.56,isoc_ec_evals (PC_TURN),91.0,1.3019189877462338,Tier1_Priority
FI,FI,2023,v47_final,30.49,94.48,4.0,43.62,5563970.0,79.14,4403325.858,TOTAL,6.52,isoc_ec_evals (PC_TURN),103.0,2.0042349970087336,Tier1_Priority
FR,FR,2023,v47_final,16.84,72.41,3.9,38.66,68277210.0,76.93,52525657.653000005,TOTAL,3.89,isoc_ec_evals (PC_TURN),99.0,0.04051967024952579,Tier2_Selective
HR,HR,2023,v47_final,30.17,61.88,3.3,46.65,3850894.0,59.14,2277418.7116,TOTAL,7.04,isoc_ec_evals (PC_TURN),78.0,-0.24324253516281089,Tier3_BarrierHeavy
HU,HU,2023,v47_final,23.11,65.52,3.3,42.38,9599744.0,69.67,6688141.6448,TOTAL,6.54,isoc_ec_evals (PC_TURN),76.0,-0.6636728747151649,Tier3_BarrierHeavy
IE,IE,2023,v47_final,35.07,83.77,3.3,55.23,5271395.0,87.12,4592439.324,TOTAL,19.67,isoc_ec_evals (PC_TURN),218.0,0.8806933960958743,Tier1_Priority
IT,IT,2023,v47_final,19.09,51.55,3.7,37.69,58997201.0,51.11,30153469.4311,TOTAL,4.75,isoc_ec_evals (PC_TURN),98.0,-0.8145303221481386,Tier2_Selective
LT,LT,2023,v47_final,38.89,75.73,3.4,36.72,2857279.0,60.91,1740368.6389,TOTAL,9.92,isoc_ec_evals (PC_TURN),86.0,1.060111775153804,Tier1_Priority
LU,LU,2023,v47_final,13.44,71.14,3.4,69.5,660809.0,79.79,527259.5011000001,TOTAL,,isoc_ec_evals (PC_ETURN fallback),248.0,-1.0590905415944054,Tier2_Selective
LV,LV,2023,v47_final,19.74,83.74,3.4,46.35,1895239.0,62.14,1177701.5146,TOTAL,5.93,isoc_ec_evals (PC_TURN),70.0,-0.14379636404560375,Tier2_Selective
MT,MT,2023,v47_final,32.41,67.38,3.2,64.25,542051.0,67.68,366860.1168000001,TOTAL,5.95,isoc_ec_evals (PC_TURN),109.0,-0.0418639647986165,Tier3_BarrierHeavy
NL,NL,2023,v47_final,30.44,95.13,4.0,34.4,17811291.0,92.41,16459414.0131,TOTAL,10.2,isoc_ec_evals (PC_TURN),131.0,2.0225315800745913,Tier1_Priority
PL,PL,2023,v47_final,17.97,59.09,3.4,12.63,36753736.0,64.32,23640002.9952,TOTAL,6.11,isoc_ec_evals (PC_TURN),77.0,-1.1204023951093964,Tier2_Selective
PT,PT,2023,v47_final,17.97,58.88,3.3,45.29,10516621.0,54.75,5757849.9975,TOTAL,7.11,isoc_ec_evals (PC_TURN),81.0,-1.2863815035554815,Tier3_BarrierHeavy
RO,RO,2023,v47_final,12.92,21.89,3.2,18.73,19055228.0,50.3,9584779.684,TOTAL,,isoc_ec_evals (PC_ETURN fallback),75.0,-3.0953324635058688,Tier3_BarrierHeavy
SE,SE,2023,v47_final,38.07,84.49,4.0,29.4,10521556.0,88.75,9337880.95,TOTAL,10.47,isoc_ec_evals (PC_TURN),111.0,2.248354122347883,Tier1_Priority
SI,SI,2023,v47_final,23.89,60.69,3.3,50.17,2116972.0,65.85,1394026.062,TOTAL,4.09,isoc_ec_evals (PC_TURN),91.0,-0.7681289467454359,Tier3_BarrierHeavy
SK,SK,2023,v47_final,18.44,57.72,3.3,39.02,5428792.0,76.82,4170398.0143999993,TOTAL,6.59,isoc_ec_evals (PC_TURN),74.0,-1.2896679554111368,Tier3_BarrierHeavy
