region_code,country,pc1_ef_score,eti_pct
AT,Austria,1.064072423151036,4.27
BE,Belgium,1.5977216547450095,9.48
BG,Bulgaria,-2.875798822694392,4.28
CY,Cyprus,-0.6106549149523967,9.26
CZ,Czechia,-0.05562177950006145,9.23
DE,Germany,0.2516500902352847,7.18
DK,Denmark,2.6980229698660683,7.02
EE,Estonia,0.09449778146538408,7.54
EL,Greece,-1.2053463908963966,5.05
ES,Spain,1.301021694841695,8.56
FI,Finland,2.003025306322338,6.52
FR,France,0.038408858890798356,3.89
HR,Croatia,-0.2432347029833633,7.04
HU,Hungary,-0.6641593932324023,6.54
IE,Ireland,0.8811667417532375,19.67
IT,Italy,-0.8161811509744205,4.75
LT,Lithuania,1.0606215695095629,9.92
LV,Latvia,-0.14463682027241168,5.93
MT,Malta,-0.018627628232137497,5.95
NL,Netherlands,2.021321517789796,10.2
PL,Poland,-1.1214949445238638,6.11
PT,Portugal,-1.2872745066910634,7.11
SE,Sweden,2.247644702475194,10.47
SI,Slovenia,-0.7685830471780526,4.09
SK,Slovakia,-1.2905326491958797,6.59
