Country code,Country,PC1_EF,MP 16-74 estimated e-shoppers,CBO (%),Screening band
DK,Denmark,2.6980229698660683,3851440.4475,39.88,Higher screening band
SE,Sweden,2.247644702475194,6646391.65,29.4,Higher screening band
NL,Netherlands,2.021321517789796,12242934.2295,34.4,Higher screening band
FI,Finland,2.003025306322338,3213497.1108,43.62,Higher screening band
BE,Belgium,1.5977216547450095,6454643.043400001,62.41,Higher screening band
ES,Spain,1.301021694841695,24966203.472,31.51,Higher screening band
AT,Austria,1.064072423151036,4933835.6536,69.21,Higher screening band
LT,Lithuania,1.0606215695095629,1303679.2666999998,36.72,Higher screening band
IE,Ireland,0.8811667417532375,3336900.732,55.23,Higher screening band
DE,Germany,0.2516500902352847,47732769.6612,20.25,Middle screening band
EE,Estonia,0.09449778146538408,730873.1536,42.98,Middle screening band
FR,France,0.038408858890798356,37581529.7256,38.66,Middle screening band
CZ,Czechia,-0.05562177950006145,6225115.179200001,35.63,Middle screening band
LV,Latvia,-0.14463682027241168,865654.3193999999,46.35,Middle screening band
IT,Italy,-0.8161811509744205,22390584.1487,37.69,Middle screening band
LU,Luxembourg,-1.0604515854409136,403144.5603,69.5,Middle screening band
PL,Poland,-1.1214949445238638,17963872.339199997,12.63,Middle screening band
EL,Greece,-1.2053463908963966,4426274.2062,27.8,Middle screening band
MT,Malta,-0.018627628232137497,291488.0757,63.44,Lower screening band
HR,Croatia,-0.2432347029833633,1715185.3768,46.65,Lower screening band
CY,Cyprus,-0.6106549149523967,409548.8048,80.75,Lower screening band
HU,Hungary,-0.6641593932324023,5089662.4262,42.38,Lower screening band
SI,Slovenia,-0.7685830471780526,1040314.7624999998,50.17,Lower screening band
PT,Portugal,-1.2872745066910634,4287942.255,45.29,Lower screening band
SK,Slovakia,-1.2905326491958797,3184245.8467999995,39.02,Lower screening band
BG,Bulgaria,-2.875798822694392,2183538.7733,27.4,Lower screening band
RO,Romania,-3.09657697427765,7185275.525999999,18.73,Lower screening band
